complaint_text,category,priority,days_pending,previous_complaints
"Digital arrival display board not working at central bus terminus.",Public Transport,LOW,10,0
"Overcrowded bus doors failing to close while vehicle is moving.",Public Transport,HIGH,2,3
"Bus stop seating bench damaged by rust.",Public Transport,LOW,14,0
"Public bus route canceled without prior announcement for 3 consecutive days.",Public Transport,MEDIUM,3,2
"Metro feeder electric bus caught fire hazard smoke at terminal.",Public Transport,HIGH,1,5
"Traffic signals failed at major 6-lane junction causing severe gridlock and near collisions.",Traffic,HIGH,1,8
"Traffic sign for one-way street obscured by overgrown tree foliage.",Traffic,LOW,12,0
"Illegal parking of heavy trucks blocking single lane road near hospital entrance.",Traffic,HIGH,3,5
"Pedestrian crossing zebra lines faded and need repainting.",Traffic,LOW,30,0
"Broken traffic light blinking yellow continuously at blind crossroad.",Traffic,HIGH,2,4
"Unauthorized speed bump built without warning signs or paint.",Traffic,MEDIUM,5,1
"Vehicle wrong-way entry causing daily bottlenecks near highway ramp.",Traffic,MEDIUM,4,2
"Traffic camera pole dislodged after vehicle collision.",Traffic,MEDIUM,2,1
"Massive pileup risk due to non-functioning red lights during peak rush hour.",Traffic,HIGH,1,6
"Traffic mirror at blind corner cracked.",Traffic,LOW,15,0
"Underground sewer pipeline burst spilling raw human sewage into residential street.",Sewage,HIGH,1,9
"Manhole cover slightly rattling when heavy cars drive over it.",Sewage,LOW,6,0
"Sewage overflowing from manhole and entering ground floor residential homes.",Sewage,HIGH,2,7
"Slight sewer odor near alleyway during evening breeze.",Sewage,LOW,3,0
"Broken sewer pipe contaminating nearby shallow groundwater wells.",Sewage,HIGH,5,4
"Manhole concrete ring worn around edges on side lane.",Sewage,LOW,18,0
"Clogged main sewer line causing toilet backflow in entire apartment complex.",Sewage,HIGH,2,6
"Open manhole cover left open without safety barricade on pedestrian walkway.",Sewage,HIGH,1,8
"Sewage water leaking from municipal inspection chamber into park grass.",Sewage,MEDIUM,4,1
"Sewer cleaning required for colony line before rainy season starts.",Sewage,LOW,20,0
"Unauthorized commercial banner hung across public heritage monument.",Other,LOW,5,0
"Stray aggressive dog pack attacking residents and school children in park.",Other,HIGH,3,7
"Fallen tree blocking public road access completely during storm.",Other,HIGH,1,4
"Graffiti sprayed on community public library wall.",Other,LOW,8,0
"Public park gate latch broken and swings in wind.",Other,LOW,12,0
"Dead tree trunk about to collapse onto pedestrian walkway.",Other,HIGH,4,3
"Public park fountain not operating and filled with dry leaves.",Other,LOW,22,0
"Loud illegal loudspeaker noise violation past midnight in residential zone.",Other,MEDIUM,1,2
"Open construction debris left on public pathway blocking wheelchairs.",Other,MEDIUM,7,1
"Encroachment on public pavement by unauthorized vendor stalls blocking walk path.",Other,MEDIUM,10,3
